test	struct	rep	count	variable	value
mix	rpqueue	5	3000	seconds	1.042942994
insert	rstack	6	3000	seconds	0.101661813
remove	rstack	6	3000	seconds	0.141197752
mix	rstack	6	3000	seconds	0.116125092
insert	rdeque	6	3000	seconds	0.318611357
remove	rdeque	6	3000	seconds	0.48608849
mix	rdeque	6	3000	seconds	0.385536414
insert	rpqueue	6	3000	seconds	1.246151013
remove	rpqueue	6	3000	seconds	0.963125044
mix	rpqueue	6	3000	seconds	1.063524549
insert	rstack	7	3000	seconds	0.104748703
remove	rstack	7	3000	seconds	0.136917223
mix	rstack	7	3000	seconds	0.118574429
insert	rdeque	7	3000	seconds	0.306613154
remove	rdeque	7	3000	seconds	0.49983311
mix	rdeque	7	3000	seconds	0.501639156
insert	rpqueue	7	3000	seconds	1.238938814
remove	rpqueue	7	3000	seconds	0.998366909
mix	rpqueue	7	3000	seconds	1.034690241
insert	rstack	8	3000	seconds	0.099122518
remove	rstack	8	3000	seconds	0.131165122
mix	rstack	8	3000	seconds	0.120459574
insert	rdeque	8	3000	seconds	0.313275332
remove	rdeque	8	3000	seconds	0.48861729
mix	rdeque	8	3000	seconds	0.383801805
insert	rpqueue	8	3000	seconds	1.177531098
remove	rpqueue	8	3000	seconds	0.929717025
mix	rpqueue	8	3000	seconds	1.061782849
insert	rstack	9	3000	seconds	0.097267706
remove	rstack	9	3000	seconds	0.131166126
mix	rstack	9	3000	seconds	0.117039815
insert	rdeque	9	3000	seconds	0.303967678
remove	rdeque	9	3000	seconds	0.488073781
mix	rdeque	9	3000	seconds	0.388073319
insert	rpqueue	9	3000	seconds	1.14045436
remove	rpqueue	9	3000	seconds	0.925684906
mix	rpqueue	9	3000	seconds	1.037399476
insert	rstack	10	3000	seconds	0.096377067
remove	rstack	10	3000	seconds	0.141848905
mix	rstack	10	3000	seconds	0.11322196
insert	rdeque	10	3000	seconds	0.305328617
remove	rdeque	10	3000	seconds	0.515632452
mix	rdeque	10	3000	seconds	0.385689688
insert	rpqueue	10	3000	seconds	1.136717128
remove	rpqueue	10	3000	seconds	0.923954789
mix	rpqueue	10	3000	seconds	1.029184748
insert	rstack	1	4000	seconds	0.137138157
remove	rstack	1	4000	seconds	0.177982419
mix	rstack	1	4000	seconds	0.162641653
insert	rdeque	1	4000	seconds	0.40614774
remove	rdeque	1	4000	seconds	0.634592677
mix	rdeque	1	4000	seconds	0.513214814
insert	rpqueue	1	4000	seconds	1.369307254
remove	rpqueue	1	4000	seconds	1.411748364
mix	rpqueue	1	4000	seconds	1.364477071
insert	rstack	2	4000	seconds	0.131389479
remove	rstack	2	4000	seconds	0.192327468
mix	rstack	2	4000	seconds	0.152710849
insert	rdeque	2	4000	seconds	0.404093086
remove	rdeque	2	4000	seconds	0.635813385
mix	rdeque	2	4000	seconds	0.525880828
insert	rpqueue	2	4000	seconds	1.333366973
remove	rpqueue	2	4000	seconds	1.414955626
mix	rpqueue	2	4000	seconds	1.37141794
insert	rstack	3	4000	seconds	0.13385941
remove	rstack	3	4000	seconds	0.176454439
mix	rstack	3	4000	seconds	0.152104993
insert	rdeque	3	4000	seconds	0.404447092
remove	rdeque	3	4000	seconds	0.73522914
